Deployment ID,Profile bottom,Profile top,Profile step
,m asl,m asl,m
299,96.0,,30.0
303,96.0,,30.0
304,96.0,,30.0
306,96.0,,30.0
308,96.0,,30.0
312,96.0,,30.0
313,96.0,,30.0
380,66.0,7766.0,30.0
381,66.0,7766.0,10.0
