Site ID,Start date,End date
:ref:`BMH`,2013-07-31 00:00,2013-08-12 00:00
:ref:`BBM`,2013-08-12 00:00,2013-08-13 00:00
:ref:`BMH`,2013-10-22 00:00,2013-11-03 00:00
:ref:`BMH`,2013-11-03 00:00,2013-11-04 00:00
:ref:`BMH`,2013-11-04 00:00,2013-11-11 00:00
:ref:`BST`,2013-12-17 00:00,2014-06-02 00:00
:ref:`KCLK`,2014-06-25 00:00,2014-07-01 00:00
:ref:`BMH`,2014-07-01 00:00,2014-07-05 00:00
:ref:`BMH`,2014-08-22 00:00,2014-08-26 00:00
:ref:`RGS`,2016-05-05 00:00,2016-05-09 00:00
:ref:`RGS`,2016-05-10 00:00,2018-09-12 00:00
