Site ID,Start date,End date
:ref:`RH`,2013-08-01 00:00,2013-08-09 00:00
:ref:`BTMH`,2013-08-11 00:00,2013-08-12 00:00
:ref:`BMH`,2013-10-22 00:00,2013-11-03 00:00
:ref:`BMH`,2013-11-03 00:00,2013-11-04 00:00
:ref:`BMH`,2013-11-04 00:00,2013-11-11 00:00
:ref:`BMH`,2013-11-04 00:00,2013-11-11 00:00
:ref:`BDH`,2013-12-13 00:00,2014-05-28 00:00
:ref:`KCLK`,2014-06-25 00:00,2014-07-01 00:00
:ref:`BMH`,2014-07-01 00:00,2014-07-05 00:00
:ref:`BMH`,2014-08-22 00:00,2014-08-26 00:00
:ref:`BST`,2016-02-02 00:00,
