Serial,Suffix
:ref:`A01360 <A01360>`,A
:ref:`A01365 <A01365>`,B
:ref:`A01362 <A01362>`,C
:ref:`A01361 <A01361>`,D
:ref:`A01364 <A01364>`,E
:ref:`A01363 <A01363>`,F
:ref:`A01357 <A01357>`,G
:ref:`A01366 <A01366>`,H
:ref:`A01358 <A01358>`,I
:ref:`A01359 <A01359>`,J
:ref:`A01605 <A01605>`,K
