eprint_id,Reference,year
77774,"Coceal, O., Bohnenstengel, S. I. and Kotthaus, S. (2018) Detection of sea-breeze events around London using a fuzzy-logic algorithm. Atmospheric Science Letters, 19 (9). e846. ISSN 1530-261X doi: https://doi.org/10.1002/asl.846",2018
40731,"Luo, Z. and Christina, A. (2015) Subsurface urban heat island and its effects on horizontal ground-source heat pump potential under climate change. Applied Thermal Engineering, 90. pp. 530-537. ISSN 1359-4311 doi: https://doi.org/10.1016/j.applthermaleng.2015.07.025",2015
