Site ID,MNH,
Full Name,Northolt,
Network,MetOffice,
Longitude,-0.417,degrees
Latitude,51.55,degrees
Start date,2016-10-06,UTC
End date,2017-09-18,UTC
Displacement height,16.5,m
City,London,
