Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
420,:ref:`LDAUV1`,:ref:`D14`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
415,:ref:`LDAUV1`,:ref:`D15`,profile_complex,Core N UV,2017-08-08,2017-08-09
416,:ref:`LDAUW`,:ref:`N1_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N1_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N1_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N2_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N2_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N2_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N3_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N3_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N3_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N4_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N4_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
427,:ref:`LDAUW`,:ref:`N4_UW`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
428,:ref:`LDAUW`,:ref:`N4_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N5_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N5_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N5_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N6_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N6_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N6_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`N7_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
422,:ref:`LDAUW`,:ref:`N7_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW`,:ref:`N7_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
416,:ref:`LDAUW`,:ref:`D1_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D1_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D1_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D2_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D2_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D2_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW`,:ref:`D3_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW`,:ref:`D3_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
