Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
cov_uTsonic,covariance_uTsonic,m.K.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
cov_uv,covariance_uv,m2.s-2,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
cov_uw,covariance_uw,m2.s-2,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
cov_vTsonic,covariance_vTsonic,m.K.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
cov_vw,covariance_vw,m2.s-2,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
cov_wTsonic,covariance_wTsonic,m.K.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
dir,wind_direction,degree,0.0,360.0,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
FLAG,Status flag,N/A,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
L,Obukhov_length,m,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
nSamples,nSamples,samples/interval,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
Q_H,upward_turbulent_sensible_heat_flux,W.m-2,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
sd_Tsonic,standard_deviation_Tsonic,Celsius,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
sd_u,standard_deviation_u,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
sd_v,standard_deviation_v,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
sd_w,standard_deviation_w,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
tol_dir,tolerance_wind_direction,degree,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
tol_Q_H,tolerance_Q_H,W.m-2,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
tol_ustar,tolerance_ustar,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
tol_WS,tolerance_WS,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
Tsonic,sonic_temperature,Celsius,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
u,zonal_wind_component,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
ustar,friction_velocity,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
v,meridional_wind_component,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
w,Vertical wind component,m.s-1,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
WS,horizontal_wind_speed,m.s-1,0.0,150.0,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
zL,atmospheric_stability_parameter,dimensionless,,,"RMYoung_ECPack,0,30min RMYoung_ECPack,1,30min RMYoung_ECPack,2,30min RM81000_ECpack,0,30min RM81000_ECpack,1,30min RM81000_ECpack,2,30min"
