name,caption,scale
23-07-2020_(16).JPEG,ARG100 (foreground) at :ref:`SWT` 23/07/2020,50
23788129985_a034c590ba_o.jpg,ARG100 (middle of image) at :ref:`KSS45W` 31/08/2010,50
r0015473_23161289573_o.jpg,At :ref:`KSSW` 2016 - 2017,50
