Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
,,,,,UTC,UTC
298,:ref:`CT25K`,:ref:`LCBRV312`,ceilometer,CT25K-X,2016-06-03,2016-07-15
300,:ref:`CT25K`,:ref:`LCBRV152`,ceilometer,CT25K-U,2016-08-19,2016-10-03
301,:ref:`CT25K`,:ref:`LCBRV017`,ceilometer,CT25K-W,2016-06-03,2016-06-17
302,:ref:`CT25K`,:ref:`LCBRV017`,ceilometer,CT25K-W,2016-07-01,2016-07-28
305,:ref:`CT25K`,:ref:`LCBRV010`,ceilometer,CT25K-V,2016-06-17,2016-07-29
307,:ref:`CT25K`,:ref:`LCBR045`,ceilometer,CT25K-Q,2016-08-05,2016-09-19
309,:ref:`CT25K`,:ref:`LCBR327`,ceilometer,CT25K-S,2016-08-05,2016-09-02
310,:ref:`CT25K`,:ref:`LCBR327`,ceilometer,CT25K-S,2016-09-19,2016-10-03
311,:ref:`CT25K`,:ref:`LCBR022`,ceilometer,CT25K-T,2016-08-05,2016-08-19
435,:ref:`PI160`,:ref:`C12080103_L17050030`,fov,C03,2017-10-26,2017-11-06
436,:ref:`PI160`,:ref:`C12070026_L12060012`,fov,C26,2017-10-26,2017-11-06
