Serial,Suffix
:ref:`N1_UW`,A
:ref:`N2_UW`,B
:ref:`N3_UW`,C
:ref:`N4_UW`,D
:ref:`N5_UW`,E
:ref:`N6_UW`,F
:ref:`N7_UW`,G
:ref:`S1_UW`,H
:ref:`S2_UW`,I
:ref:`S3_UW`,J
:ref:`S4_UW`,K
:ref:`S5_UW`,L
:ref:`S6_UW`,M
:ref:`S7_UW`,N
:ref:`D1_UW`,O
:ref:`D2_UW`,P
:ref:`D3_UW`,Q
:ref:`D4_UW`,R
:ref:`D5_UW`,S
:ref:`D6_UW`,T
:ref:`D7_UW`,U
:ref:`D8_UW`,V
:ref:`D9_UW`,W
:ref:`D10_UW`,X
:ref:`D11_UW`,Y
:ref:`D10-D11_UW`,Z
