Deployment ID,Height,Yaw,Pitch,Roll
NA,m asl,degrees,degrees,degrees
363,7.1,124.75,48.599,5.233
365,7.1,124.95,45.399,4.833
364,1.0,311.51,51.922,3.742
399,0.0,0.0,0.0,0.0
