Deployment ID,Height,Yaw,Pitch,Roll
NA,m asl,degrees,degrees,degrees
411,194.4,,,
411,194.4,,,
412,194.4,0.0,0.0,0.0
413,37.2,0.0,0.0,0.0
432,-0.1,0.0,0.0,0.0
