Serial,Suffix
:ref:`N1`,A
:ref:`N2`,B
:ref:`N3`,C
:ref:`N4`,D
:ref:`N5`,E
:ref:`N6`,F
:ref:`N7`,G
:ref:`S1`,H
:ref:`S2`,I
:ref:`S3`,J
:ref:`S4`,K
:ref:`S5`,L
:ref:`S6`,M
:ref:`S7`,N
:ref:`D1`,O
:ref:`D2`,P
:ref:`D3`,Q
:ref:`D4`,R
:ref:`D5`,S
:ref:`D6`,T
:ref:`D7`,U
:ref:`D8`,V
:ref:`D9`,W
:ref:`D9_REP`,X
:ref:`D10`,Y
:ref:`D11`,Z
