name,caption,scale
img_9254_25741989922_o.jpg,View of tower. Unknown date between 11-10-2011 and 27-02-2013.,100
grenfell_tower_las_davis_25964971515_o.jpg,":ref:`DAVIS`, :ref:`LAS150` reciever from :ref:`NDT` and :ref:`LASMKII` transmitter to :ref:`NTT` 11-01-2012. ",50
grenfell_tower_las060030_23705912491_o.jpg,:ref:`LAS150` view to :ref:`NTT` 06-01-2012.,50
r0015605_23705975201_o.jpg,:ref:`BLS` reciever and :ref:`LASMKII` unknown date between 2012-09-21 and 2013-02-26.,50
img_0474_23788636795_o.jpg,:ref:`BLS` transmitter to :ref:`NDT` and :ref:`LAS150` reciever from :ref:`NDT` 25-05-2011.,50
