Site ID,Start date,End date
:ref:`KSK15S`,2007-02-20 00:00,2008-08-12 00:00
:ref:`KSK`,2008-08-13 00:00,2009-09-30 00:00
:ref:`KSS`,2009-10-09 00:00,2012-03-25 00:00
:ref:`KSNW`,2012-09-19 00:00,2016-02-18 00:00
:ref:`IMU`,2016-05-04 00:00,2019-08-30 00:00
