Site ID,BSH,
Full Name,Barbican Speed House,
Network,IndoorLUMA,
Longitude,-0.091402,degrees
Latitude,51.519593,degrees
Start date,2013-07-31,UTC
End date,2013-08-08,UTC
Displacement height,-999.0,m
City,London,
