Site ID,NA,LVS
Full Name,NA,Leaver Street
Network,NA,IndoorLUMA
Longitude,degrees,-0.097435
Latitude,degrees,51.526867
Start date,UTC,2016-02-01
End date,UTC,
Displacement height,m,-999.0
City,NA,London
