Site ID,BBM,
Full Name,Barbican Brandon Mews,
Network,IndoorLUMA,
Longitude,-0.09139,degrees
Latitude,51.519043,degrees
Start date,2013-08-12,UTC
End date,2013-08-13,UTC
Displacement height,-999.0,m
City,London,
