Ouput definition ID,File Identifier,Level Number,QAQC notes,File time resolution
CNR4,CNR4_%SITE,0,No_QAQC,1min
CNR4,CNR4_%SITE,0,No_QAQC,15min
CNR4,CNR4_%SITE,0,No_QAQC,5sec
CNR4,CNR4_%SITE,1,Thresholds_applied,1min
CNR4,CNR4_%SITE,1,Thresholds_applied,15min
CNR4,CNR4_%SITE,1,Thresholds_applied,5sec
