Serial,Suffix
:ref:`CC26_LC26`,A
:ref:`PI12070026_O12060012`,B
:ref:`C12070026_L12060012`,C
:ref:`C12060057_L12060030`,D
:ref:`12080018`,E
:ref:`C12080019_L12080002`,F
:ref:`C12080103_L17050030`,G
:ref:`C12080019_L17050029`,H
:ref:`C12080017_L17050013`,I
:ref:`C12080016_L16060004`,J
:ref:`C12070069_L17050015`,K
:ref:`C12060057_L16080014`,L
:ref:`C12080019_L17050029_NORMALDISTORTIONCORRECTION`,M
