name,caption,scale
dscf3441_23761208906_o(1).jpg,At :ref:`EMB` 30/07/2010,50
dsc05882_23159257364_o(1).jpg,At :ref:`HAN` 08/06/2011,50
24019645873_d204249a0b_o.jpg,Node at :ref:`BTM` 13/01/2016,50
22-10-2020(4).JPEG,Unnearthed at :ref:`RGS` 22/10/2020.,50
soil_middle_temple_01_probes_23762079186_o.jpg,At :ref:`MT` 13/06/2011.,50
