eprint_id,Reference,year
91221,"Biggart, M., Stocker, J., Doherty, R. M., Wild, O., Hollaway, M., Carruthers, D., Li, J., Zhang, Q., Wu, R., Kotthaus, S., Grimmond, S., Squires, F. A., Lee, J. and Shi, Z. (2020) Street-scale air quality modelling for Beijing during a winter 2016 measurement campaign. Atmospheric Chemistry and Physics, 20 (5). pp. 2755-2780. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-20-2755-2020",2020
92334,"Hertwig, D., Grimmond, S., Kotthaus, S., Vanderwel, C., Gough, H., Haeffelin, M. and Robins, A. (2020) Variability of physical meteorology in urban areas at different scales: implications for air quality. Faraday Discussions. ISSN 1364-5498 doi: https://doi.org/10.1039/D0FD00098A (In Press)",2020
93373,"Squires, F. A., Nemitz, E., Langford, B., Wild, O., Drysdale, W. S., Acton, W. J. F., Fu, P., Grimmond, C. S. B., Hamilton, J. F., Hewitt, C. N., Hollaway, M., Kotthaus, S., Lee, J., Metzger, S., Pingintha-Durden, N., Shaw, M., Vaughan, A. R., Wang, X., Wu, R., Zhang, Q. and Zhang, Y. (2020) Measurements of traffic-dominated pollutant emissions in a Chinese megacity. Atmospheric Chemistry and Physics, 20 (14). pp. 8737-8761. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-20-8737-2020",2020
81499,"Dou, J., Grimmond, S., Cheng, Z., Miao, S., Feng, D. and Liao, M. (2019) Summertime surface energy balance fluxes at two Beijing sites. International Journal of Climatology, 39 (5). pp. 2793-2810. ISSN 08998418 doi: https://doi.org/10.1002/joc.5989",2019
84382,"Kokkonen, T. V., Grimmond, S., Murto, S., Liu, H., Sundstr�m, A.-M. and J�rvi, L. (2019) Simulation of the radiative effect of haze on the urban hydrological cycle using reanalysis data in Beijing. Atmospheric Chemistry and Physics, 19. pp. 7001-7017. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-7001-2019",2019
84384,"Shi, Z., Vu, T., Kotthaus, S., Harrison, R. M., Grimmond, S., Yue, S., Zhu, T., Lee, J., Han, Y., Demuzere, M., Dunmore, R. E., Ren, L., Liu, D., Wang, Y., Wild, O., Allan, J., Acton, W. J., Barlow, J., Barratt, B., Beddows, D., Bloss, W. J., Calzolai, G., Carruthers, D., Carslaw, D. C., Chan, Q., Chatzidiakou, L., Chen, Y., Crilley, L., Coe, H., Dai, T., Doherty, R., Duan, F., Fu, P., Ge, B., Ge, M., Guan, D., Hamilton, J. F., He, K., Heal, M., Heard, D., Hewitt, C. N., Hollaway, M., Hu, M., Ji, D., Jiang, X., Jones, R., Kalberer, M., Kelly, F. J., Kramer, L., Langford, B., Lin, C., Lewis, A. C., Li, J., Li, W., Liu, H., Liu, J., Loh, M., Lu, K., Lucarelli, F., Mann, G., McFiggans, G., Miller, M. R., Mills, G., Monk, P., Nemitz, E., O&amp;apos;Connor, F., Ouyang, B., Palmer, P. I., Percival, C., Popoola, O., Reeves, C., Rickard, A. R., Shao, L., Shi, G., Spracklen, D., Stevenson, D., Sun, Y., Sun, Z., Tao, S., Tong, S., Wang, Q., Wang, W., Wang, X., Wang, X., Wang, Z., Wei, L., Whalley, L., Wu, X., Wu, Z., Xie, P., Yang, F., Zhang, Q., Zhang, Y., Zhang, Y. and Zheng, M. (2019) In-depth study of air pollution sources and processes within Beijing and its surrounding region (APHH-Beijing). Atmospheric Chemistry and Physics (11). pp. 7519-7546. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-7519-2019",2019
84383,"Liu, D., Joshi, R., Wang, J., Yu, C., Allan, J. D., Coe, H., Flynn, M. J., Xie, C., Lee, J., Squires, F., Kotthaus, S., Grimmond, S., Ge, X., Sun, Y. and Fu, P. (2019) Contrasting physical properties of black carbon in urban Beijing between winter and summer. Atmospheric Chemistry and Physics, 19. pp. 6749-6769. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-6749-2019",2019
86470,"Thomsit-Ireland, F. (2019) Overcoming the barriers to green walls in urban areas of the UK. EngD thesis, University of Reading.",2019
75601,"Liang, X., Miao, S., Li, J., Bornstein, R., Zhang, X., Gao, Y., Cao, X., Chen, F., Cheng, Z., Clements, C., Dabberdt, W., Ding, A., Ding, D., Dou, J. J., Dou, J. X., Dou, Y., Grimmond, C. S. B., Gonzalez-Cruz, J., He, J., Huang, M., Huang, X., Ju, S., Li, Q., Niyogi, D., Quan, J., Sun, J., Sun, J. Z., Yu, M., Zhang, J., Zhang, Y., Zhao, X., Zheng, Z. and Zhou, M. (2018) SURF: understanding and predicting urban convection and haze. Bulletin of the American Meteorological Society, 99 (7). pp. 1391-1413. ISSN 0003-0007 doi: https://doi.org/10.1175/BAMS-D-16-0178.1",2018
66958,"Rabin, S. S., Melton, J. R., Lasslop, G., Bachelet, D., Forrest, M., Hantson, S., Kaplan, J. O., Li, F., Mangeon, S., Ward, D. S., Yue, C., Arora, V. K., Hickler, T., Kloster, S., Knorr, W., Nieradzik, L., Spessa, A., Folberth, G. A., Sheehan, T., Voulgarakis, A., Kelley, D. I., Prentice, I. C., Sitch, S., S., Harrison, S. and Arneth, A. (2017) The Fire Modeling Intercomparison Project (FireMIP), phase 1: experimental and analytical protocols. Geoscientific Model Development, 10 (3). pp. 1175-1197. ISSN 1991-9603 doi: https://doi.org/10.5194/gmd-10-1175-2017",2017
51796,"Buehner, M., Gelaro, R., Alves, O., Dee, D., Kalnay, E., Van Leeuwen, P. J., Lorenc, A., Miyoshi, T., Saunders, R. and Schiller, A. (2015) Data assimilation methods and applications. In: Brunet, G., Jones, S. and Ruti, P.M. (eds.) Seamless prediction of the earth system: from minutes to months. World Meteorological Organization. ISBN 9789263111562",2015
52306,"Jung, T., Bauer, P., Goessling, H. F., Gordon, N., Klebe, S., Bromwich, D. H., Doblas-Reyes, F., Day, J. J., Fairall, C. W., Holland, M., Iverson, T., Lemke, P., Mills, B., Nurmi, P., Perovich, D. K., Reid, P., Renfrew, I., Smith, G., Svensson, G. and Tolstykh, M. (2015) The WWRP Polar Prediction Project (PPP). In: Brunet, G., Jones, S. and Ruti, P. (eds.) Seamless prediction of the Earth system: from minutes to months. WMO, 1156. World Meteorological Organisation, Geneva, pp. 371-384. ISBN 9789263111562",2015
32097,"Meehl, G. A., Goddard, L., Boer, G., Burgman, R., Branstator, G., Cassou, C., Corti, S., Danabasoglu, G., Doblas-Reyes, F., Hawkins, E., Karspeck, A., Kimoto, M., Kumar, A., Matei, D., Mignot, J., Msadek, R., Pohlmann, H., Rienecker, M., Rosati, T., Schneider, E., Smith, D., Sutton, R., Teng, H., Van Oldenborgh, G. J., Vecchi, G. and Yeager, S. (2014) Decadal climate prediction: an update from the trenches. Bulletin of the American Meteorological Society, 95 (2). pp. 243-267. ISSN 1520-0477 doi: https://doi.org/10.1175/BAMS-D-12-00241.1",2014
34561,"Wania, R., Melton, J. R., Hodson, E. L., Poulter, B., Ringeval, B., Spahni, R., Bohn, T., Avis, C. A., Chen, G., Eliseev, A. V., Hopcroft, P. O., Riley, W. J., Subin, Z. M., Tian, H., van Bodegom, P. M., Kleinen, T., Yu, Z. C., Singarayer, J. S., Z�rcher, S., Lettenmaier, D. P., Beerling, D. J., Denisov, S. N., Prigent, C., Papa, F. and Kaplan, J. O. (2013) Present state of global wetland extent and wetland methane modelling: methodology of a model inter-comparison project (WETCHIMP). Geoscientific Model Development, 6 (3). pp. 617-641. ISSN 1991-9603 doi: https://doi.org/10.5194/gmd-6-617-2013",2013
