Deployment ID,Height,Yaw,Pitch,Roll
,m asl,degrees,degrees,degrees
17,79.5,32.0,,
354,76.0,33.0,1.83613641371,
356,76.0,33.0,1.8361364137124,
360,79.0,145.0,-0.29812133424,
