Deployment ID,Height,Yaw,Pitch,Roll
,m asl,degrees,degrees,degrees
12,91.0,342.0,,
13,91.0,342.0,0.0,0.0
280,91.0,0.0,0.0,0.0
457,91.0,0.0,0.0,0.0
314,91.0,0.0,0.0,0.0
315,91.0,0.0,0.0,0.0
316,91.0,0.0,0.0,0.0
317,91.0,0.0,0.0,0.0
318,91.0,0.0,0.0,0.0
319,91.0,0.0,0.0,0.0
320,91.0,0.0,0.0,0.0
324,91.0,124.0,2.8080829977032,
337,91.0,240.0,,
337,91.0,240.0,,
401,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0
439,0.0,0.0,0.0,0.0
443,0.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0
455,91.0,0.0,0.0,0.0
456,91.0,0.0,0.0,0.0
