Site ID,Start date,End date
:ref:`RMR`,2016-06-03 00:00,2016-06-17 00:00
:ref:`URAO`,2016-06-17 00:00,2016-07-01 00:00
:ref:`RMR`,2016-07-01 00:00,2016-07-28 00:00
