Site ID,Start date,End date
:ref:`KSK`,2010-01-22 00:00,2010-03-04 00:00
:ref:`KSK`,2010-03-04 00:00,2010-03-22 00:00
:ref:`KSK`,2010-03-22 00:00,2010-03-29 00:00
:ref:`KSK`,2010-03-29 00:00,2010-08-25 00:00
:ref:`KSK`,2010-08-25 00:00,2010-10-22 00:00
:ref:`KSK`,2010-10-22 00:00,2011-03-11 00:00
:ref:`KSK`,2011-03-11 00:00,2011-04-06 00:00
:ref:`KSK`,2011-04-06 00:00,2011-08-19 00:00
:ref:`KSK`,2011-08-19 00:00,2011-08-22 00:00
:ref:`KSK`,2011-08-22 00:00,2011-09-06 00:00
:ref:`KSK`,2011-09-06 00:00,2011-10-06 00:00
:ref:`KSK`,2011-10-06 00:00,2011-12-21 00:00
:ref:`KSK`,2011-12-21 00:00,2013-02-27 00:00
