Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
191,:ref:`MICROLITE`,:ref:`9178792`,indoor,5th floor (incomplete),2013-09-16,2013-11-11
257,:ref:`MICROLITE`,:ref:`9178792`,indoor,5th floor (incomplete),2014-08-22,2014-08-26
105,:ref:`MICROLITE`,:ref:`9178750`,indoor,Cupboard Hall? RHS E,2013-11-04,2013-11-11
119,:ref:`MICROLITE`,:ref:`9178750`,indoor,Living room table,2013-10-22,2013-11-03
170,:ref:`MICROLITE`,:ref:`9178750`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
256,:ref:`MICROLITE`,:ref:`9178750`,indoor,5th floor (incomplete),2014-08-22,2014-08-26
106,:ref:`MICROLITE`,:ref:`9178744`,indoor,Cupboard Hall? RHS F,2013-11-04,2013-11-11
120,:ref:`MICROLITE`,:ref:`9178744`,indoor,Living room table,2013-10-22,2013-11-03
173,:ref:`MICROLITE`,:ref:`9178744`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
184,:ref:`MICROLITE`,:ref:`9178744`,indoor,Living room,2014-07-01,2014-07-05
107,:ref:`MICROLITE`,:ref:`9178794`,indoor,Cupboard Hall? LHS A,2013-11-04,2013-11-11
121,:ref:`MICROLITE`,:ref:`9178794`,indoor,Living room table,2013-10-22,2013-11-03
163,:ref:`MICROLITE`,:ref:`9178794`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
164,:ref:`MICROLITE`,:ref:`9178794`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
166,:ref:`MICROLITE`,:ref:`9178794`,indoor,Living room,2014-07-01,2014-07-05
108,:ref:`MICROLITE`,:ref:`9178739`,indoor,Cupboard Hall? LHS B,2013-11-04,2013-11-11
109,:ref:`MICROLITE`,:ref:`9178739`,indoor,Cupboard Hall? LHS C,2013-11-04,2013-11-11
