Site ID,DKS,
Full Name,Detling Kent Showgrounds,
Network,ClearfLo,
Longitude,0.582642,degrees
Latitude,51.307951,degrees
Start date,2010-10-02,UTC
End date,2012-09-12,UTC
Displacement height,109.0,m
City,London,
