Site ID,Start date,End date
:ref:`BTT`,2010-03-09 00:00,2011-09-23 00:00
:ref:`NTT`,2011-10-12 00:00,2011-11-03 00:00
:ref:`NGT`,2012-01-11 00:00,2012-09-21 00:00
