Site ID,Start date,End date
:ref:`IMU`,2017-07-28 00:00,2017-08-02 00:00
:ref:`IMU`,2017-08-04 00:00,2017-09-29 00:00
:ref:`IMU`,2017-09-30 00:00,2017-10-14 00:00
:ref:`RMR`,2017-10-26 00:00,2017-11-06 00:00
:ref:`RAG`,2018-01-16 00:00,2018-01-30 00:00
:ref:`RAG`,2018-01-31 00:00,2018-08-15 00:00
