Site ID,Start date,End date
:ref:`KSK15S`,2007-12-04 00:00,2008-08-20 00:00
:ref:`RGS`,2009-03-26 00:00,2016-06-14 00:00
:ref:`RGS`,2016-06-26 00:00,2020-03-17 00:00
