Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
FLAG,Status flag,N/A,,,"SKYE,1,15min"
nSamples,nSamples,samples/interval,,,"SKYE,0,15min SKYE,1,15min"
PAR_umol,PAR_radiation_umol,umol.m-2.s-1,0.0,2000.0,"SKYE,0,15min SKYE,1,15min"
PAR_W,photosynthetically_active_radiation,W.m-2,0.0,400.0,"SKYE,0,15min SKYE,1,15min"
sd_PAR_umol,standard dev PAR_umol,umol.m-2.s-1,,,"SKYE,0,15min SKYE,1,15min"
sd_PAR_W,standard_deviation_photosynthetically_active_radiation_W,W.m-2,,,"SKYE,0,15min SKYE,1,15min"
sd_UVA_umol,standard_deviation_UVA_umol,umol.m-2.s-1,,,"SKYE,0,15min SKYE,1,15min"
sd_UVA_W,standard_deviation_UVA_radiation_W,W.m-2,,,"SKYE,0,15min SKYE,1,15min"
sd_UVB_umol,UVB_radiation_umol,umol.m-2.s-1,,,"SKYE,0,15min SKYE,1,15min"
sd_UVB_W,standard_deviation_UVB_radiation_W,W.m-2,,,"SKYE,0,15min SKYE,1,15min"
UVA_umol,UVA_radiation_umol,umol.m-2.s-1,0.0,500.0,"SKYE,0,15min SKYE,1,15min"
UVA_W,UVA_radiation,W.m-2,0.0,100.0,"SKYE,0,15min SKYE,1,15min"
UVB_umol,UVB_radiation_umol,umol.m-2.s-1,0.0,500.0,"SKYE,0,15min SKYE,1,15min"
UVB_W,UVB_radiation,W.m-2,0.0,100.0,"SKYE,0,15min SKYE,1,15min"
