Site ID,CUB,
Full Name,City University Bell Tower,
Network,LUMA,
Longitude,-0.1043,degrees
Latitude,51.5273,degrees
Start date,2017-09-07,UTC
End date,2017-10-14,UTC
Displacement height,-999.0,m
City,London,
