Site,Link,Title,Description
SWT,http://www.urban-climate.net/content/data,Southwark Meteorological Data,Information and pre-2017 weather data from SWT 
SWT,http://data.urban-climate.net/southwark_plots/,Southwark Meteorological Station,Current weather data visualisation and download 
