Deployment ID,Raw file name format,Raw file time resolution,Sample type
NA,NA,NA,Instantaneous/Average
322,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
358,../BT_KGG/LAS/Hourly/%m/LASFast%y%DOY_%H.txt,0.1s,instantaneous
384,MetDataJanet_Temp/%m/%Y%m%d_WXT.dat,1sec,
386,MetDataJanet_Temp/%m/%Y%m%d_CNR4.dat,20sec,
