Deployment ID,Raw file name format,Raw file time resolution,Sample type
,,,Instantaneous/Average
10,Davis2/Daily/%m/%Y%m%d_davis.txt,2 sec,instantaneous
11,Davis2/Daily/%m/%Y%m%d_davis.txt,2 sec,instantaneous
236,wxt/Daily/%m/com7-%Y%m%d-000000.txt,,
351,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
352,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
353,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
357,/LAS_MkII_29/Daily/%m/%Y%m%d_120028.log,60s,average
