instId,instSerial,height,startDate,endDate
CT25K,LCBR045,44.5,15/12/2016 00:00,10/11/2017 00:00
BLS900,T-E-0470,54,06/04/2017 00:00,
SWTWXSTATION,SWT123456,55,18/03/2017 00:00,
CNR1,22123,44,18/05/2017 00:00,
LASMkII,120028,44,25/08/2017 00:00,
CL31,F2730001,44.5,10/11/2017 00:00,18/02/2020 00:00
