name,caption,scale
23-07-2020_(16).JPEG,:ref:`ARG100` ( in foreground) 23-07-2020.,15
23-07-2020_(12).JPEG,":ref:`107`, :ref:`HMP45A` 23-07-2020.",15
27308466430_fdcc9d4628_o(1).jpg,":ref:`107` and :ref:`HMP45A`  in radiation shields, :ref:`WINDSET`  on top of tower 10/06/2016",15
