Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
dir,wind_direction,degree,0.0,360.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
FLAG,Status flag,N/A,,,"Davis,1,1min Davis,1,15min Davis,1,30min"
Kdn,incoming_shortwave_radiation,W.m-2,0.0,1200.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
nSamples,nSamples,samples/interval,,,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
press,barometric_pressure,hPa,800.0,1200.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
R_acc,accumulated_rain,mm,,,"Davis,1,1min Davis,1,15min Davis,1,30min"
rain_acc,Rain accumulation over file interval period,mm,0.0,3.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
RH,relative_humidity,%,0.0,100.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
RR,rain_rate,mm.h-1,0.0,5400.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
sd_WS,Horizontal wind speed standard deviation,m.s-1,,,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,1min Davis,1,15min Davis,1,15min Davis,1,30min Davis,1,30min"
sun_status,Sunshine status,N/A,,,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
t_dew,Dew point temperature,Celsius,,,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
Tair,air_temperature,Celsius,-30.0,50.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
uv_index,Ultraviolet index,N/A,,,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
visit_reason,site_visit_reason_description,N/A,,,"Davis,1,1min Davis,1,15min Davis,1,30min"
WS,horizontal_wind_speed,m.s-1,0.0,150.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
WS_max,Horizontal wind speed maximum,m.s-1,0.0,50.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
WS_min,Horizontal wind speed minimum,m.s-1,0.0,50.0,"Davis,0,1min Davis,0,15min Davis,0,30min Davis,1,1min Davis,1,15min Davis,1,30min"
