Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
Cn2,refractive_index_structure_parameter,m-2/3,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Cn2_RAW,refractive_index_structure_parameter_RAW,m-2/3,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Cn2Max,maximum_refractive_index_structure_parameter,m-2/3,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Cn2Min,minimum_refractive_index_structure_parameter,m-2/3,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Cn2Sig,refractive_index_structure_parameter,m-2/3,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
CT2,temperature_structure_parameter,K-2m^2/3,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Demod,demodulated_signal,mV,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
DemodSig,demodulated_signal_sig,mV,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
DeviceTemp,device_temperature,Celsius,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Hfree,upward_turbulent_sensible_heat_flux_free_convection_method,W.m-2,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
nSamples,nSamples,samples/interval,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Q_H,upward_turbulent_sensible_heat_flux,W.m-2,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Q_H_db,upward_turbulent_sensible_heat_flux_de_bruin_method,W.m-2,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Q_H_fc,upward_turbulent_sensible_heat_flux_free_convection_method,W.m-2,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
SatCorrFactor,Saturation_Correction_Factor,dimensionless,,,"LAS150,1,1min LAS150,1,15min LAS150,1,30min"
Srt,maximum_refractive_index_structure_parameter,K-2m^2/3,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min LAS150,1,1min LAS150,1,15min LAS150,1,30min"
UDemod,demodulated_signal,mV,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min"
UdemodSig,demodulated_signal_sig,mV,,,"LAS150,0,1min LAS150,0,15min LAS150,0,30min"
