Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
FLAG,Status flag,N/A,,,"PSP,1,15min"
Kdn,incoming_shortwave_radiation,W.m-2,0.0,1200.0,"PSP,0,15min PSP,1,15min"
sd_Kdn,incoming_shortwave_radiation,W.m-2,,,"PSP,0,15min PSP,1,15min"
