Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
Cn2,refractive_index_structure_parameter,m-2/3,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Cn2_SigUCn2,refractive_index_structure_parameter_UCn2Sig_method,m-2/3,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Cn2Sig,refractive_index_structure_parameter,m-2/3,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
CT2,temperature_structure_parameter,K-2m^2/3,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Demod,demodulated_signal,mV,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
DemodSig,demodulated_signal_sig,mV,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
FLAG,Status flag,N/A,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
nSamples,nSamples,samples/interval,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Q_H,upward_turbulent_sensible_heat_flux,W.m-2,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Q_H_db,upward_turbulent_sensible_heat_flux_de_bruin_method,W.m-2,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
Q_H_fc,upward_turbulent_sensible_heat_flux_free_convection_method,W.m-2,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
SatCorrFactor,Saturation_Correction_Factor,dimensionless,,,"LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
UCn2,UCn2,m-2/3,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
UCn2Sig,standard_deviation_UCn2,m-2/3,,,"LASMkII,0,1min LASMkII,0,15min LASMkII,0,30min LASMkII,1,1min LASMkII,1,15min LASMkII,1,30min"
