Deployment ID,Room type,Building storey,Distance to wnidow
NA,NA,NA,m
135,,4.0,
136,,,
161,,6.0,
200,,-1.0,
201,,-2.0,
202,,3.0,
203,,-2.0,
204,,7.0,
205,,2.0,
206,,1.0,
207,,2.0,
208,,6.0,
291,Corridor,6.0,7.0
